titulo;url;municipio;uf;categoria;latitude;longitude;tipo_localizacao;localizacao_confirmada;qtd_municipio;qtd_categoria;data
Menino Sem-Teto Salva o Filho de um Bilionário Depois que Médicos o Declaram Morto — Mas o que Aconteceu Depois Chocou a Todos;https://highxtop.com/menino-sem-teto-salva-o-filho-de-um-bilionario-depois-que-medicos-o-declaram-morto-mas-o-que-aconteceu-depois-chocou-a-todos-pino/;Jardim;50;Morte;-21.468583882424813;-56.14359248068799;municipio;True;7;199;2026-03-16 10:25:00+00:00
Milão: Homem sem-teto é encontrado morto por provável hipotermia em Via Padova;https://laviaitalia.com.br/milao-homem-sem-teto-morto-via-padova-frio;Estação;43;Morte;-27.90828285359589;-52.249818165259235;municipio;True;5;199;2026-01-17 08:49:26
AMAAC - 24/03/2026 - Rede Globo - DF1 - Sem teto é morto por PM da reserva em Águas Claras;https://m.youtube.com/watch?v=Q66ZtyGJQgo;Reserva;41;Morte;-24.641217676506916;-50.85499514805078;municipio;True;3;199;2026-04-16 13:56:14.271664
Sem-teto é morto por PM da reserva em Águas Claras;https://g1.globo.com/df/distrito-federal/df1/video/sem-teto-e-morto-por-pm-da-reserva-em-aguas-claras-14460635.ghtml;Reserva;41;Morte;-24.638464923435897;-50.845134223047154;municipio;True;3;199;2026-04-16 13:56:15.778995
Sem-teto é encontrado morto em trincheira de Belo Horizonte • Rede Repórter;https://redereporter.com/sem-teto-e-encontrado-morto-em-trincheira-de-belo-horizonte/;Belo Horizonte;31;Morte;-19.912277003597403;-43.935652649441096;municipio;True;8;199;2023-10-02 11:17:33-03:00
Sem-teto é encontrado morto | AS PRIMEIRAS 48 HORAS: MINUTOS CRÍTICOS | A&E;https://m.youtube.com/watch?v=RwdBw_FIDcU;Não Identificado;NI;Morte;-14.24588245426936;-51.90981816340502;municipio;True;75;199;2026-04-16 13:56:19.255315
Segurança é condenado a 15 anos por morte de sem-teto no Rio;https://g1.globo.com/rj/rio-de-janeiro/noticia/2026/02/04/seguranca-condenado-por-morte-de-sem-teto.ghtml;Não Identificado;NI;Morte;-14.237460639953047;-51.91565883604694;municipio;True;75;199;2026-02-04 00:00:00
Famílias que ocupam calçada fazem protesto no 7º dia da morte de sem-teto;https://www.gazetadopovo.com.br/vida-e-cidadania/familias-que-ocupam-calcada-fazem-protesto-no-7-dia-da-morte-de-sem-teto-b9vugs3t9hut1r48en5awzm8e/;Passagem;25;Morte;-7.118187427672686;-37.044666799132905;municipio;True;3;199;2026-04-16 13:56:24.359890
Jornal: Homem morre em padaria, que seguiu aberta até corpo ser recolhido;https://noticias.uol.com.br/cotidiano/ultimas-noticias/2020/11/29/homem-morre-em-padaria-que-segue-aberta-ate-corpo-ser-recolhido.htm;Não Identificado;NI;Morte;-14.254631469540065;-51.91238037899375;municipio;True;75;199;2020-11-29 00:00:00
"Krajewski celebra o funeral de ""Robertino""";https://www.vaticannews.va/pt/igreja/news/2021-01/krajewski-funeral-sem-teto-pobreza-roma.html;Divino;31;Morte;-20.597586094303384;-42.15351576192813;municipio;True;1;199;2021-01-16 00:00:00
